epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.90860254,0.29764693328644337,0.001,0.9868,0.03727643272709102
1,0.96619725,0.11046235875544291,0.00095,0.9812,0.06471134880818427
2,0.9727209,0.08905223036086454,0.0009025,0.9918,0.026770830961386674
3,0.97652495,0.077302731458223,0.000857375,0.9921,0.024087383611220866
4,0.9791444,0.0693182471072529,0.00081450626,0.9931,0.02150490176398307
5,0.98052925,0.0641174433045328,0.0007737809,0.992,0.025208903225837274
6,0.98128,0.061234545664990085,0.0007350919,0.9946,0.016212976475578036
7,0.98413306,0.054712935101968826,0.0006983373,0.9941,0.01762681566416286
8,0.9843166,0.052136528637552075,0.0006634204,0.9936,0.01695145902611548
9,0.98553455,0.04741263898234721,0.0006302494,0.9926,0.023212956872128414
10,0.9861352,0.04647102347737724,0.0005987369,0.9939,0.018629259219556115
11,0.986886,0.04338965142962214,0.0005688001,0.9955,0.014494583398709073
12,0.9865356,0.04307709138721597,0.0005403601,0.9948,0.01725215903939679
13,0.98770356,0.040368018734894866,0.0005133421,0.9945,0.01814838594251778
14,0.98793715,0.03974889544558796,0.000487675,0.9939,0.020378615500830345
15,0.9892552,0.036238844364481736,0.00046329122,0.994,0.01748328312895028
16,0.9885044,0.037769292895565305,0.00044012666,0.995,0.015775517000758556
17,0.9886045,0.036663651712252714,0.00041812033,0.9954,0.012883321063220501
18,0.9901228,0.03239526449940359,0.00039721432,0.9943,0.01676329966780322
19,0.9901228,0.03181363906055237,0.0003773536,0.9953,0.014482824047305621
