epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.90683395,0.3021997359113393,0.001,0.9896,0.03266837791018188
1,0.9635611,0.11742826983992963,0.00095,0.9921,0.0257243442597799
2,0.97151965,0.09185539970415094,0.0009025,0.9924,0.021647573537938298
3,0.9766251,0.07640606821184004,0.000857375,0.9922,0.02359119666130282
4,0.97944474,0.0690399660975998,0.00081450626,0.9942,0.02115811917523388
5,0.97986186,0.06517312634419063,0.0007737809,0.9877,0.03800402018371969
6,0.98209757,0.059510585635421165,0.0007350919,0.9936,0.02237240075941663
7,0.9833656,0.05412471761655518,0.0006983373,0.9949,0.01619258568896912
8,0.9837994,0.05253879507646577,0.0006634204,0.9942,0.01839121017695288
9,0.9849506,0.05042907716102254,0.0006302494,0.9952,0.016311013563675807
10,0.9856347,0.04839076892074021,0.0005987369,0.9938,0.017698697452782654
11,0.9871196,0.04338695066047457,0.0005688001,0.9951,0.015508770454314072
12,0.98730314,0.04245983994254137,0.0005403601,0.9962,0.012805005906085716
13,0.98780364,0.040423865365727174,0.0005133421,0.9934,0.019816350793658056
14,0.9880539,0.03907624529907107,0.000487675,0.9958,0.014411186578223715
15,0.9889382,0.03671036255964835,0.00046329122,0.9944,0.017286297983955593
16,0.98823744,0.0376668646525158,0.00044012666,0.9958,0.01439295572819974
17,0.98950547,0.0340153545477973,0.00041812033,0.9933,0.020151339764951263
18,0.98997265,0.0333996523059692,0.00039721432,0.9953,0.013909241978063074
19,0.98930526,0.03268287411063772,0.0003773536,0.9947,0.017945120281924028
